month,mine_location,target_production,actual_production,equipment_available,equipment_utilization,downtime_hours,rainfall,temperature,soil_moisture,blast_count,blast_delay,mn_grade,ore_thickness,ore_depth,lithology
2021-09,MOIL-Mine-04,131798.43,87596.25,11,82.97,14.46,71.92,25.4,0.348,27,4.85,34.98,4.29,22.74,Laterite
2021-10,MOIL-Mine-04,126793.54,93906.54,12,81.95,26.18,14.52,29.31,0.188,25,4.08,34.52,4.61,28.73,Metamorphic
2021-11,MOIL-Mine-04,130444.21,87383.36,10,69.38,32.68,33.05,26.4,0.235,28,3.43,35.2,4.86,24.98,Metamorphic
2021-12,MOIL-Mine-04,137094.06,101739.32,11,81.63,27.97,1.37,20.89,0.204,26,3.54,33.57,4.42,27.5,Metamorphic
2022-01,MOIL-Mine-04,129828.06,106630.1,11,83.62,25.54,4.09,24.73,0.161,23,2.9,33.94,5.1,28.76,Manganese-bearing
2022-02,MOIL-Mine-04,131012.19,115003.77,12,92.14,22.01,9.41,24.96,0.218,25,2.33,35.46,4.64,27.84,Manganese-bearing
2022-03,MOIL-Mine-04,130533.93,95526.18,11,85.82,17.19,21.17,27.39,0.238,24,3.91,34.17,3.84,26.99,Laterite
2022-04,MOIL-Mine-04,133243.65,106398.38,11,76.95,9.67,19.71,28.31,0.219,27,2.87,31.61,4.23,26.66,Manganese-bearing
2022-05,MOIL-Mine-04,133608.83,115083.44,11,82.71,21.21,11.64,34.5,0.201,21,2.02,35.28,4.62,28.36,Manganese-bearing
2022-06,MOIL-Mine-04,131574.4,79578.29,10,76.61,22.56,110.0,31.14,0.338,20,6.89,34.19,4.95,25.31,Banded formation
2022-07,MOIL-Mine-04,133405.93,84857.14,12,76.63,16.83,106.73,28.54,0.362,21,5.29,32.43,4.9,29.78,Manganese-bearing
2022-08,MOIL-Mine-04,130821.46,83154.77,10,72.78,28.32,120.73,30.32,0.437,24,5.07,34.92,4.7,21.51,Manganese-bearing
2022-09,MOIL-Mine-04,133056.37,84504.23,9,74.7,19.34,88.66,29.52,0.317,27,5.92,32.25,4.64,26.48,Manganese-bearing
2022-10,MOIL-Mine-04,129871.66,109433.82,12,77.51,13.15,32.17,23.35,0.239,18,1.21,31.83,4.23,23.14,Manganese-bearing
2022-11,MOIL-Mine-04,131825.43,114716.1,10,83.25,11.54,10.38,21.05,0.169,29,2.79,34.3,4.91,24.37,Manganese-bearing
2022-12,MOIL-Mine-04,131678.42,115978.44,11,87.86,16.79,10.34,22.86,0.204,25,2.41,33.93,4.86,25.38,Manganese-bearing
2023-01,MOIL-Mine-04,132220.42,106533.61,12,86.96,25.15,6.8,21.03,0.203,23,3.48,33.41,4.56,22.25,Banded formation
2023-02,MOIL-Mine-04,135648.69,99950.6,11,89.67,32.04,39.35,22.6,0.238,28,3.43,36.11,4.95,26.92,Metamorphic
2023-03,MOIL-Mine-04,132335.79,104857.87,11,73.94,12.01,48.27,26.53,0.301,25,3.36,35.82,4.45,26.02,Manganese-bearing
2023-04,MOIL-Mine-04,132547.16,111671.25,10,84.57,16.87,7.61,30.1,0.185,31,3.32,34.13,4.92,27.84,Banded formation
2023-05,MOIL-Mine-04,137338.38,118235.58,12,79.51,16.39,7.38,32.92,0.189,25,2.47,35.32,4.92,30.01,Manganese-bearing
2023-06,MOIL-Mine-04,134625.77,76072.78,11,72.91,23.33,132.02,32.76,0.428,27,6.54,33.81,3.77,26.63,Manganese-bearing
2023-07,MOIL-Mine-04,140043.36,82172.07,11,71.34,17.94,82.82,31.8,0.344,21,6.47,34.85,4.59,25.85,Laterite
2023-08,MOIL-Mine-04,133050.96,86593.98,11,71.27,24.74,64.39,28.86,0.344,23,5.09,34.16,4.02,26.6,Manganese-bearing
2023-09,MOIL-Mine-04,135444.46,99554.99,11,83.06,15.14,65.99,28.62,0.365,24,4.7,34.7,4.13,27.58,Banded formation
2023-10,MOIL-Mine-04,135170.08,101140.56,10,86.37,22.19,29.26,27.6,0.273,28,4.8,33.25,4.77,24.49,Manganese-bearing
2023-11,MOIL-Mine-04,131812.3,115772.94,10,88.13,20.64,12.86,25.18,0.179,24,2.17,32.42,4.73,24.35,Manganese-bearing
2023-12,MOIL-Mine-04,133506.1,97345.55,11,81.45,21.43,12.21,19.09,0.276,24,3.8,33.94,3.89,29.73,Metamorphic
2024-01,MOIL-Mine-04,135197.31,107624.66,12,78.9,10.01,39.01,22.76,0.239,30,4.52,33.71,5.57,21.41,Banded formation
2024-02,MOIL-Mine-04,133364.47,106192.63,11,81.7,20.99,12.43,21.09,0.16,17,1.41,32.34,4.26,24.18,Banded formation
2024-03,MOIL-Mine-04,136585.57,102646.51,10,88.28,13.8,51.89,29.35,0.286,24,3.94,31.81,4.48,27.54,Banded formation
2024-04,MOIL-Mine-04,140567.28,100297.56,12,81.06,17.97,29.71,29.79,0.219,31,3.19,31.66,4.58,27.34,Laterite
2024-05,MOIL-Mine-04,132873.82,118333.52,12,83.47,19.93,6.88,32.63,0.218,26,2.5,38.25,4.59,29.64,Manganese-bearing
2024-06,MOIL-Mine-04,133841.86,88808.52,11,77.54,14.49,99.44,29.4,0.333,31,4.77,34.59,4.43,28.89,Manganese-bearing
2024-07,MOIL-Mine-04,133605.91,73483.25,10,72.3,30.99,65.4,31.02,0.339,22,5.47,31.97,3.8,29.54,Laterite
2024-08,MOIL-Mine-04,138182.15,78797.8,11,76.64,23.96,108.97,27.02,0.389,29,6.26,34.22,4.47,26.94,Metamorphic
2024-09,MOIL-Mine-04,137001.25,83486.96,11,75.21,18.82,111.07,28.22,0.416,27,6.66,36.88,4.54,28.31,Metamorphic
2024-10,MOIL-Mine-04,129092.28,103426.61,12,84.81,19.84,7.66,29.14,0.238,29,1.87,33.13,4.0,29.44,Metamorphic
2024-11,MOIL-Mine-04,139256.95,104305.56,10,79.47,14.63,18.71,25.37,0.246,19,2.81,33.45,4.79,28.23,Laterite
2024-12,MOIL-Mine-04,135945.51,102801.46,11,82.77,15.88,25.31,20.54,0.199,26,3.22,34.05,4.67,23.7,Laterite
2025-01,MOIL-Mine-04,138049.48,110815.18,12,84.25,7.2,17.18,26.31,0.238,23,3.95,34.06,4.01,26.99,Metamorphic
2025-02,MOIL-Mine-04,140779.8,104044.93,10,81.32,23.24,54.11,22.99,0.3,28,4.41,35.88,4.02,22.06,Manganese-bearing
2025-03,MOIL-Mine-04,138445.62,106625.75,12,75.11,21.71,30.33,28.12,0.222,21,3.78,35.42,4.65,28.2,Manganese-bearing
2025-04,MOIL-Mine-04,135611.86,89889.17,11,77.31,18.4,26.92,30.43,0.216,22,3.97,34.35,3.82,27.95,Laterite
2025-05,MOIL-Mine-04,143321.06,106640.82,10,80.09,17.61,21.48,36.68,0.228,34,3.1,31.86,3.97,28.34,Metamorphic
2025-06,MOIL-Mine-04,141926.67,85764.68,12,89.12,25.72,85.48,30.41,0.376,27,5.67,33.58,4.37,29.05,Laterite
2025-07,MOIL-Mine-04,143136.66,85595.96,13,76.62,13.92,100.26,27.23,0.417,28,5.98,34.14,4.8,29.67,Laterite
2025-08,MOIL-Mine-04,134224.94,74911.63,11,75.22,10.31,170.95,28.73,0.508,18,7.59,33.25,4.28,30.18,Manganese-bearing
2025-09,MOIL-Mine-04,138964.54,86973.95,10,78.7,19.15,53.87,29.35,0.259,30,5.24,32.88,4.18,23.97,Laterite
2025-10,MOIL-Mine-04,138704.68,108602.69,11,78.73,15.65,27.18,28.34,0.221,24,2.74,30.66,4.7,28.2,Manganese-bearing
2025-11,MOIL-Mine-04,134828.5,109130.76,9,79.01,15.62,17.95,27.02,0.181,25,3.81,34.65,4.78,24.7,Manganese-bearing
2025-12,MOIL-Mine-04,133067.51,103901.59,10,90.0,15.45,19.23,22.69,0.252,32,3.69,32.52,3.76,26.75,Banded formation
2021-01,MOIL-Mine-05,72042.41,53093.69,13,80.72,16.88,21.82,21.27,0.2,30,3.77,31.59,4.84,30.79,Banded formation
2021-02,MOIL-Mine-05,70160.89,55188.97,12,84.79,9.4,33.76,26.74,0.237,21,3.4,31.54,4.71,26.04,Metamorphic
2021-03,MOIL-Mine-05,67627.33,46883.34,12,81.51,17.14,30.29,27.57,0.249,28,4.3,33.7,4.46,28.74,Laterite
2021-04,MOIL-Mine-05,71716.07,59736.71,11,90.91,22.65,7.78,33.11,0.192,23,2.9,36.32,4.26,32.2,Manganese-bearing
2021-05,MOIL-Mine-05,69386.69,47660.68,11,86.28,20.05,42.83,31.82,0.299,27,4.27,32.37,5.1,25.62,Laterite
2021-06,MOIL-Mine-05,70702.78,38886.53,12,70.06,26.55,212.72,32.87,0.513,26,9.44,33.7,4.33,26.85,Manganese-bearing
2021-07,MOIL-Mine-05,67934.01,51206.37,11,81.6,23.09,9.76,26.27,0.169,18,2.95,31.42,4.93,28.95,Metamorphic
2021-08,MOIL-Mine-05,69820.13,53472.57,10,86.39,11.87,57.1,25.32,0.333,26,4.55,33.44,5.09,29.82,Manganese-bearing
2021-09,MOIL-Mine-05,69187.52,43204.94,10,79.85,17.89,80.53,29.68,0.334,27,6.59,31.32,4.92,30.77,Manganese-bearing
2021-10,MOIL-Mine-05,69272.5,51130.95,11,76.04,21.13,18.12,28.88,0.198,23,3.73,33.33,4.6,32.22,Manganese-bearing
2021-11,MOIL-Mine-05,70274.08,44382.02,11,76.83,23.19,44.45,24.45,0.337,29,3.86,32.47,4.48,31.82,Laterite
2021-12,MOIL-Mine-05,69388.34,49197.81,13,78.81,25.65,20.32,21.07,0.204,27,3.5,29.83,4.81,26.3,Manganese-bearing
2022-01,MOIL-Mine-05,69652.03,54753.1,11,84.96,22.27,8.23,21.17,0.248,25,2.08,30.05,4.12,27.53,Manganese-bearing
2022-02,MOIL-Mine-05,71370.03,59978.2,13,82.91,12.77,15.63,27.73,0.234,23,3.08,34.18,4.28,25.85,Manganese-bearing
2022-03,MOIL-Mine-05,72473.76,45045.98,10,77.92,26.62,18.32,25.76,0.19,29,4.3,31.71,4.7,28.71,Laterite
2022-04,MOIL-Mine-05,71760.02,55253.35,12,89.21,24.96,5.15,30.51,0.17,25,4.48,33.86,3.98,25.99,Manganese-bearing
2022-05,MOIL-Mine-05,71817.78,53361.78,13,81.99,22.88,5.99,31.02,0.197,25,2.44,33.41,5.06,29.29,Laterite
2022-06,MOIL-Mine-05,71848.57,41563.47,11,78.39,25.44,120.91,33.91,0.405,23,6.07,32.35,4.96,28.63,Manganese-bearing
2022-07,MOIL-Mine-05,70697.16,51891.56,13,74.17,15.06,44.91,27.15,0.244,23,2.9,31.45,4.53,30.36,Manganese-bearing
2022-08,MOIL-Mine-05,71379.53,46312.73,12,78.95,31.79,89.32,28.69,0.406,24,4.01,32.48,4.65,26.44,Manganese-bearing
2022-09,MOIL-Mine-05,69965.41,38480.98,13,72.88,17.88,131.64,28.87,0.449,22,8.53,33.12,5.04,31.57,Manganese-bearing
2022-10,MOIL-Mine-05,68431.47,51207.89,11,85.52,19.2,15.13,29.82,0.261,24,1.85,32.61,4.13,28.71,Laterite
2022-11,MOIL-Mine-05,74051.23,60435.55,12,85.65,13.42,4.18,24.97,0.187,32,3.83,33.65,4.65,34.17,Manganese-bearing
2022-12,MOIL-Mine-05,73172.43,59508.87,13,83.36,11.61,14.25,25.36,0.233,24,2.9,31.34,4.43,30.31,Manganese-bearing
2023-01,MOIL-Mine-05,72969.5,54428.25,12,83.06,18.24,21.38,19.61,0.231,23,2.04,33.21,4.3,29.68,Laterite
2023-02,MOIL-Mine-05,72691.94,49082.78,13,83.98,18.3,30.27,24.17,0.304,26,3.41,31.51,4.87,32.21,Laterite
2023-03,MOIL-Mine-05,72275.99,57936.49,11,80.97,5.0,26.09,28.66,0.219,21,3.56,32.01,4.45,23.27,Banded formation
2023-04,MOIL-Mine-05,71506.53,59471.45,10,88.42,16.55,20.75,32.53,0.202,25,2.56,33.45,4.18,26.93,Manganese-bearing
2023-05,MOIL-Mine-05,75011.29,57340.03,13,79.81,24.1,37.28,34.92,0.262,26,2.72,34.59,5.22,32.06,Manganese-bearing
2023-06,MOIL-Mine-05,73340.59,46269.84,12,76.14,16.72,72.5,31.26,0.328,27,4.28,33.13,4.43,29.51,Laterite
2023-07,MOIL-Mine-05,69448.51,55434.74,12,84.21,14.2,41.19,29.36,0.304,24,2.93,32.79,5.09,28.63,Manganese-bearing
2023-08,MOIL-Mine-05,73545.69,46127.54,13,82.46,24.97,73.26,25.25,0.427,24,3.89,33.77,4.44,28.46,Laterite
2023-09,MOIL-Mine-05,71693.98,44543.16,12,71.7,20.56,101.9,31.95,0.351,25,5.06,33.5,5.07,30.3,Banded formation
2023-10,MOIL-Mine-05,69784.65,48907.24,11,77.02,15.41,38.33,30.11,0.306,29,3.58,34.44,5.26,27.7,Laterite
2023-11,MOIL-Mine-05,74962.53,61049.87,12,75.4,15.63,11.42,23.52,0.178,20,1.91,30.52,4.58,27.67,Manganese-bearing
2023-12,MOIL-Mine-05,69065.55,48001.69,10,75.08,24.92,31.3,19.17,0.248,21,2.48,32.04,3.79,29.21,Manganese-bearing
2024-01,MOIL-Mine-05,75858.57,61317.27,11,81.01,10.54,24.2,21.64,0.249,26,4.1,33.09,4.62,25.62,Manganese-bearing
2024-02,MOIL-Mine-05,75620.35,57151.47,13,81.9,19.33,13.93,24.62,0.221,19,3.91,35.75,4.4,29.79,Metamorphic
2024-03,MOIL-Mine-05,73761.14,55040.51,12,88.06,21.39,32.53,28.2,0.338,30,2.98,32.1,5.14,29.91,Metamorphic
2024-04,MOIL-Mine-05,74620.8,51007.81,11,86.58,24.59,61.06,31.57,0.267,29,5.55,32.7,5.25,32.79,Manganese-bearing
2024-05,MOIL-Mine-05,75156.43,54192.36,13,86.96,25.52,18.81,32.48,0.234,26,3.36,31.07,4.65,32.17,Metamorphic
2024-06,MOIL-Mine-05,74140.48,44416.17,13,83.68,24.52,86.35,29.48,0.352,27,6.42,33.29,5.41,28.39,Laterite
2024-07,MOIL-Mine-05,76589.64,47023.11,12,77.55,15.79,108.44,29.89,0.35,27,6.2,33.4,4.59,29.08,Manganese-bearing
2024-08,MOIL-Mine-05,73809.75,47249.74,12,78.89,19.19,87.43,27.27,0.366,33,6.48,35.0,4.47,27.15,Banded formation
2024-09,MOIL-Mine-05,72842.65,40572.14,12,71.91,27.47,111.66,27.91,0.41,25,6.3,30.91,4.46,24.78,Metamorphic
2024-10,MOIL-Mine-05,72247.98,52688.89,11,76.87,21.54,29.4,27.73,0.246,20,3.88,31.84,4.7,24.53,Manganese-bearing
2024-11,MOIL-Mine-05,71818.17,51959.79,13,75.67,10.66,27.43,25.05,0.236,21,2.65,33.05,4.08,26.22,Laterite
2024-12,MOIL-Mine-05,72845.25,52659.83,12,84.32,23.47,35.13,21.29,0.291,23,4.23,34.3,4.59,33.34,Manganese-bearing
2025-01,MOIL-Mine-05,73822.3,58985.64,12,83.22,7.96,13.74,20.84,0.236,27,3.61,32.51,4.43,28.55,Manganese-bearing
2025-02,MOIL-Mine-05,74432.45,56843.24,10,80.24,23.87,32.33,23.7,0.269,29,2.74,32.08,5.82,26.39,Manganese-bearing
2025-03,MOIL-Mine-05,74760.82,66823.5,12,89.16,9.01,1.84,28.03,0.2,28,2.56,33.64,4.96,28.52,Manganese-bearing
2025-04,MOIL-Mine-05,78158.23,64075.55,11,88.32,18.54,3.57,39.03,0.158,18,2.25,35.64,4.26,30.51,Laterite
2025-05,MOIL-Mine-05,77217.75,60471.42,13,82.13,21.97,2.17,36.62,0.181,23,0.92,32.53,4.61,30.17,Laterite
2025-06,MOIL-Mine-05,75328.44,52039.93,11,79.92,14.69,70.99,28.65,0.359,25,3.81,31.96,4.89,28.63,Banded formation
2025-07,MOIL-Mine-05,76944.25,51648.52,13,78.37,24.81,67.67,30.3,0.373,20,3.86,32.37,5.31,31.67,Banded formation
2025-08,MOIL-Mine-05,76565.84,44396.3,13,80.25,21.26,125.57,30.0,0.398,23,6.36,31.19,4.4,28.24,Manganese-bearing
2025-09,MOIL-Mine-05,76458.8,51298.92,13,81.36,19.77,81.9,30.33,0.389,33,5.69,32.39,4.97,29.05,Manganese-bearing
2025-10,MOIL-Mine-05,74539.46,51048.53,12,76.46,28.67,22.22,27.52,0.256,29,3.44,33.05,4.59,29.36,Banded formation
2025-11,MOIL-Mine-05,74970.17,58875.22,11,84.74,17.77,4.14,24.83,0.197,20,4.39,33.11,5.03,24.82,Manganese-bearing
2025-12,MOIL-Mine-05,76181.81,61181.79,14,85.92,20.29,25.7,20.2,0.217,19,2.86,31.2,5.19,30.34,Manganese-bearing
2021-01,MOIL-Mine-06,95826.8,68818.92,11,75.06,26.07,74.02,21.03,0.379,24,4.43,33.78,4.53,30.92,Manganese-bearing
2021-02,MOIL-Mine-06,94475.89,78566.93,9,83.68,16.49,22.18,23.01,0.181,27,3.69,32.0,4.78,28.8,Manganese-bearing
2021-03,MOIL-Mine-06,99136.32,90733.19,11,87.75,13.22,5.62,27.21,0.215,28,3.08,30.92,5.22,28.92,Manganese-bearing
2021-04,MOIL-Mine-06,92201.12,67562.65,11,86.97,24.5,14.05,31.47,0.265,28,3.31,31.66,4.12,28.45,Laterite
2021-05,MOIL-Mine-06,93776.06,79729.22,10,83.07,23.17,16.42,35.14,0.197,31,2.49,31.83,5.15,28.1,Banded formation
2021-06,MOIL-Mine-06,94623.93,58627.98,10,73.19,27.35,77.12,33.15,0.354,28,6.31,32.85,4.93,26.69,Metamorphic
2021-07,MOIL-Mine-06,97393.7,63637.86,11,74.33,27.36,92.35,29.61,0.387,19,5.72,33.16,3.95,25.89,Manganese-bearing
2021-08,MOIL-Mine-06,95299.81,65233.3,10,79.96,16.41,68.41,29.96,0.344,31,5.15,31.14,4.02,28.2,Manganese-bearing
2021-09,MOIL-Mine-06,95792.84,76803.39,13,75.59,9.46,61.04,25.56,0.263,24,3.57,32.31,4.19,29.64,Manganese-bearing
2021-10,MOIL-Mine-06,94034.41,87325.96,10,86.51,12.62,1.55,29.18,0.195,13,3.25,33.12,5.24,27.47,Manganese-bearing
2021-11,MOIL-Mine-06,93808.34,85553.26,11,78.07,12.01,10.51,23.84,0.204,30,2.52,35.22,4.42,28.24,Manganese-bearing
2021-12,MOIL-Mine-06,93792.11,71978.22,13,87.05,23.27,34.15,20.61,0.233,35,5.1,31.17,5.57,30.25,Banded formation
2022-01,MOIL-Mine-06,94620.32,78713.9,11,76.54,20.86,26.92,21.85,0.215,25,2.99,33.47,4.69,24.39,Manganese-bearing
2022-02,MOIL-Mine-06,96239.66,73363.97,9,84.24,16.18,41.11,20.68,0.208,31,4.4,30.34,5.16,28.23,Manganese-bearing
2022-03,MOIL-Mine-06,97916.37,82115.28,11,81.83,18.15,18.8,25.44,0.211,28,3.39,32.63,5.29,30.1,Manganese-bearing
2022-04,MOIL-Mine-06,92988.14,78737.17,12,84.96,13.5,15.2,31.01,0.255,27,2.9,33.03,4.74,29.38,Laterite
2022-05,MOIL-Mine-06,94230.79,79392.67,12,83.91,28.58,1.6,37.94,0.216,26,2.02,29.63,4.76,28.19,Manganese-bearing
2022-06,MOIL-Mine-06,98209.53,65445.76,12,74.67,30.86,62.38,31.12,0.273,27,4.66,31.46,4.54,30.37,Manganese-bearing
2022-07,MOIL-Mine-06,97819.32,72556.93,12,71.49,25.06,45.23,32.6,0.354,31,3.83,32.93,4.69,30.73,Manganese-bearing
2022-08,MOIL-Mine-06,97921.93,76332.73,12,79.62,23.19,35.93,25.12,0.255,24,4.49,33.94,5.19,26.83,Manganese-bearing
2022-09,MOIL-Mine-06,94976.73,58044.29,14,71.46,20.37,134.27,29.19,0.4,30,7.44,33.47,5.0,30.02,Manganese-bearing
2022-10,MOIL-Mine-06,98427.8,85718.84,11,88.77,22.42,6.8,27.39,0.236,23,2.7,32.88,4.26,29.56,Manganese-bearing
2022-11,MOIL-Mine-06,92429.1,72965.03,9,81.45,11.36,13.89,26.58,0.184,35,3.81,31.06,4.58,29.85,Metamorphic
2022-12,MOIL-Mine-06,97349.84,73871.03,11,81.55,25.0,7.6,21.28,0.136,19,3.92,34.26,5.02,29.79,Laterite
2023-01,MOIL-Mine-06,95673.64,73050.26,11,80.78,23.57,5.49,22.17,0.171,33,3.67,30.8,5.06,25.42,Metamorphic
2023-02,MOIL-Mine-06,102842.83,79794.04,11,82.82,15.24,45.04,25.77,0.295,19,4.58,33.64,4.53,29.99,Metamorphic
2023-03,MOIL-Mine-06,98291.62,67875.96,11,77.04,27.25,37.68,26.73,0.241,18,4.6,29.99,5.18,31.09,Metamorphic
2023-04,MOIL-Mine-06,98410.05,77309.67,10,76.61,25.62,29.34,27.46,0.199,26,3.75,32.97,5.78,27.59,Metamorphic
2023-05,MOIL-Mine-06,101382.87,80577.84,11,77.82,21.72,1.42,37.38,0.231,24,3.02,31.86,5.03,29.6,Metamorphic
2023-06,MOIL-Mine-06,99636.84,72443.34,13,78.25,17.31,100.4,33.71,0.347,27,4.27,33.16,4.87,31.11,Manganese-bearing
2023-07,MOIL-Mine-06,98894.95,60924.19,10,72.46,25.62,97.87,28.84,0.34,21,5.96,30.82,5.12,24.96,Metamorphic
2023-08,MOIL-Mine-06,100809.65,55445.31,11,75.71,32.83,142.39,28.45,0.473,23,7.71,33.11,4.18,24.2,Manganese-bearing
2023-09,MOIL-Mine-06,96561.3,71662.41,12,80.68,22.82,46.57,27.05,0.304,21,3.08,33.2,5.03,30.96,Laterite
2023-10,MOIL-Mine-06,96016.12,77324.05,12,79.59,24.33,11.36,27.95,0.167,31,3.56,30.34,5.11,27.46,Manganese-bearing
2023-11,MOIL-Mine-06,99753.39,74221.16,12,83.52,19.43,25.62,26.2,0.243,19,3.82,29.15,4.66,24.26,Metamorphic
2023-12,MOIL-Mine-06,99114.42,86306.76,11,81.99,15.82,15.98,20.13,0.189,21,2.03,34.59,3.92,30.94,Metamorphic
2024-01,MOIL-Mine-06,100363.39,66173.11,11,73.5,31.54,49.08,20.66,0.228,24,5.38,30.92,4.17,25.6,Metamorphic
2024-02,MOIL-Mine-06,99624.62,86663.22,12,89.36,17.98,11.14,25.79,0.176,24,4.55,33.2,4.77,28.15,Manganese-bearing
2024-03,MOIL-Mine-06,96701.19,79051.88,10,82.63,23.85,22.96,26.55,0.256,23,3.02,32.96,4.91,31.13,Manganese-bearing
2024-04,MOIL-Mine-06,102907.03,83528.62,11,85.55,23.17,22.15,32.09,0.2,29,4.52,33.36,4.62,26.43,Manganese-bearing
2024-05,MOIL-Mine-06,101960.03,79541.47,12,82.93,30.17,5.64,32.89,0.219,19,3.66,30.56,4.62,27.65,Manganese-bearing
2024-06,MOIL-Mine-06,100682.0,68415.2,12,81.78,16.23,72.63,29.1,0.281,23,5.88,30.89,4.76,27.02,Metamorphic
2024-07,MOIL-Mine-06,99591.38,65182.7,11,81.23,26.94,86.13,28.26,0.381,19,5.79,32.08,4.39,25.8,Banded formation
2024-08,MOIL-Mine-06,100786.83,55432.76,11,62.69,44.29,203.07,32.2,0.567,24,9.1,35.97,4.72,27.93,Manganese-bearing
2024-09,MOIL-Mine-06,101778.67,63552.94,12,78.04,30.7,101.02,26.97,0.391,36,7.31,30.52,4.72,24.32,Manganese-bearing
2024-10,MOIL-Mine-06,101985.42,71461.95,11,82.37,25.02,43.16,29.55,0.267,26,5.21,29.33,4.72,29.38,Metamorphic
2024-11,MOIL-Mine-06,98978.32,87396.46,10,91.51,31.56,7.67,22.58,0.232,36,1.94,35.61,5.87,29.35,Metamorphic
2024-12,MOIL-Mine-06,103583.86,83758.98,12,82.56,26.02,29.61,24.23,0.218,29,3.54,33.35,5.06,28.75,Manganese-bearing
2025-01,MOIL-Mine-06,101663.54,70541.39,10,81.62,21.9,27.31,22.83,0.219,20,3.96,31.09,4.71,31.13,Laterite
2025-02,MOIL-Mine-06,100506.6,76774.74,11,83.12,24.89,18.89,22.92,0.262,26,3.92,30.3,4.28,27.04,Manganese-bearing
2025-03,MOIL-Mine-06,100329.94,72370.66,11,79.17,28.02,34.26,30.36,0.231,23,4.51,32.13,5.03,28.48,Metamorphic
2025-04,MOIL-Mine-06,101605.41,82389.16,11,84.42,14.46,8.0,26.0,0.174,17,1.02,28.23,4.98,28.76,Laterite
2025-05,MOIL-Mine-06,101564.69,83391.27,11,84.32,14.84,2.53,33.84,0.182,20,1.64,31.79,4.8,31.91,Laterite
2025-06,MOIL-Mine-06,102661.42,74071.7,9,74.04,25.53,49.1,29.96,0.298,24,3.59,31.08,5.23,29.69,Manganese-bearing
2025-07,MOIL-Mine-06,103134.08,80807.4,10,83.34,17.21,43.46,28.46,0.242,27,4.2,30.37,4.69,23.34,Manganese-bearing
2025-08,MOIL-Mine-06,103771.26,74846.27,10,77.83,16.11,47.19,28.21,0.303,19,5.06,30.97,4.4,30.04,Manganese-bearing
2025-09,MOIL-Mine-06,98126.38,53969.51,10,61.15,26.49,206.57,26.58,0.556,28,8.28,31.81,5.04,26.33,Manganese-bearing
2025-10,MOIL-Mine-06,100980.19,80556.24,11,83.72,22.74,21.2,30.2,0.23,22,2.97,31.64,4.59,28.8,Banded formation
2025-11,MOIL-Mine-06,98268.58,68507.23,11,82.59,26.1,47.15,25.4,0.24,20,4.52,34.65,4.56,30.35,Laterite
2025-12,MOIL-Mine-06,103452.83,72113.16,10,80.61,19.21,51.41,20.56,0.265,25,3.26,28.7,5.17,28.24,Laterite
2021-01,MOIL-Mine-07,109335.06,95338.57,11,84.95,13.16,12.85,19.23,0.208,22,2.48,30.76,4.69,26.56,Manganese-bearing
2021-02,MOIL-Mine-07,112380.37,68280.36,14,69.8,32.64,59.37,25.01,0.338,27,5.54,31.65,4.64,32.79,Banded formation
2021-03,MOIL-Mine-07,115007.1,107803.92,13,82.72,10.65,6.35,30.72,0.191,27,1.66,33.11,4.62,30.84,Manganese-bearing
2021-04,MOIL-Mine-07,115382.67,87936.72,12,86.12,28.46,33.36,29.27,0.223,32,4.18,33.39,5.0,27.49,Manganese-bearing
2021-05,MOIL-Mine-07,114994.17,81056.45,13,80.45,25.3,58.01,36.47,0.29,28,5.44,33.02,4.52,24.05,Manganese-bearing
2021-06,MOIL-Mine-07,112764.92,62020.7,13,68.63,33.08,135.65,34.3,0.457,21,7.26,32.6,5.17,30.39,Metamorphic
2021-07,MOIL-Mine-07,113518.34,73087.81,11,75.69,29.05,35.84,25.41,0.193,19,4.55,29.1,5.03,25.58,Banded formation
2021-08,MOIL-Mine-07,115280.77,83186.49,11,77.16,21.29,68.45,28.65,0.317,23,4.89,32.9,5.34,24.66,Manganese-bearing
2021-09,MOIL-Mine-07,114041.39,88184.96,12,87.45,28.29,34.92,28.91,0.205,25,3.76,32.59,5.22,26.36,Manganese-bearing
2021-10,MOIL-Mine-07,113669.49,98904.06,10,84.07,11.36,3.06,29.84,0.239,29,2.14,32.32,4.57,22.22,Metamorphic
2021-11,MOIL-Mine-07,115761.41,95824.91,13,88.36,13.64,7.1,22.75,0.206,29,3.73,31.69,5.42,31.43,Metamorphic
2021-12,MOIL-Mine-07,115423.07,71663.39,12,80.63,23.08,109.61,19.28,0.427,27,7.09,33.59,5.03,27.89,Manganese-bearing
2022-01,MOIL-Mine-07,117456.7,88721.67,13,84.17,24.05,8.78,19.23,0.193,24,3.97,28.99,4.97,30.83,Manganese-bearing
2022-02,MOIL-Mine-07,116163.14,90734.77,11,84.37,27.35,14.55,23.35,0.265,29,4.24,32.39,5.4,26.41,Manganese-bearing
2022-03,MOIL-Mine-07,115916.55,95779.68,10,83.4,17.56,10.76,26.35,0.24,25,2.51,34.05,4.89,28.7,Metamorphic
2022-04,MOIL-Mine-07,113422.46,99826.83,10,93.72,16.4,8.77,34.12,0.196,19,2.58,32.7,4.85,29.95,Manganese-bearing
2022-05,MOIL-Mine-07,120936.27,85601.95,12,79.26,34.12,45.66,31.49,0.221,23,3.38,32.02,5.15,29.46,Manganese-bearing
